"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"23-14A-j25-31",4,"14A","Neubaugasse - Reumannplatz",3,"0A295D","FFFFFF"
"23-15A-j25-1",4,"15A","Meidling - Enkplatz/Grillgasse",3,"0A295D","FFFFFF"
"23-15A-j25-24",4,"15A","Meidling - Enkplatz/Grillgasse",3,"0A295D","FFFFFF"
"23-15A-j25-31",4,"15A","Meidling - Enkplatz/Grillgasse",3,"0A295D","FFFFFF"
"23-16A-j25-2",4,"16A","Hetzendorf - Alaudagasse Baustellenfahrplan gültig von 13.12.2023 bis voraussichtlich Mai 2025",3,"0A295D","FFFFFF"
"23-16A-j25-24",4,"16A","Hetzendorf - Alaudagasse",3,"0A295D","FFFFFF"
"23-16A-j25-3",4,"16A","Hetzendorf - Alaudagasse",3,"0A295D","FFFFFF"
"23-16A-j25-31",4,"16A","Hetzendorf - Alaudagasse",3,"0A295D","FFFFFF"
"23-16A-j25-90",4,"16A","Hetzendorf - Alaudagasse Baustellenfahrplan gültig bis voraussichtlich April 2025",3,"0A295D","FFFFFF"
"23-17A-j25-1",4,"17A","Inzerdorf, Birostraße - Oberlaa",3,"0A295D","FFFFFF"
"23-18E-j25-1",4,"18E","Fasangasse - Fasangasse Schienenersatzverkehr gültig von 18.03. bis 06.07.2025",3,"0A295D","FFFFFF"
"23-19A-j25-1",4,"19A","Alaudagasse - Alaudagasse",3,"0A295D","FFFFFF"
"23-19A-j25-24",4,"19A","19A",3,"0A295D","FFFFFF"
"23-19A-j25-31",4,"19A","19A",3,"0A295D","FFFFFF"
"23-1A-j25-1",4,"1A","Stephansplatz - Schottentor",3,"0A295D","FFFFFF"
"23-1A-j25-2",4,"1A","Stephansplatz - Schottentor",3,"0A295D","FFFFFF"
"23-1A-j25-24",4,"1A","Stephansplatz - Schottentor",3,"0A295D","FFFFFF"
"23-20A-j25-1",4,"20A","Kaisermühlen-VIC - Neue Donau",3,"0A295D","FFFFFF"
"23-20A-j25-2",4,"20A","Kaisermühlen-VIC - Neue Donau",3,"0A295D","FFFFFF"
"23-20A-j25-24",4,"20A","Kaisermühlen-VIC - Neue Donau",3,"0A295D","FFFFFF"
"23-20A-j25-3",4,"20A","Kaisermühlen-VIC - Neue Donau",3,"0A295D","FFFFFF"
"23-20A-j25-31",4,"20A","Kaisermühlen-VIC - Neue Donau",3,"0A295D","FFFFFF"
"23-20A-j25-4",4,"20A","Kaisermühlen-VIC - Neue Donau",3,"0A295D","FFFFFF"
"23-20A-j25-90",4,"20A","Kaisermühlen-VIC - Neue Donau",3,"0A295D","FFFFFF"
"23-20B-j25-1",4,"20B","Alte Donau - Neue Donau",3,"0A295D","FFFFFF"
"23-22A-j25-2",4,"22A","Kagraner Platz - Aspernstraße Baustellenfahrplan",3,"0A295D","FFFFFF"
"23-22A-j25-24",4,"22A","Kagran - Aspernstraße",3,"0A295D","FFFFFF"
"23-22A-j25-31",4,"22A","Kagran - Aspernstraße",3,"0A295D","FFFFFF"
"23-24A-j25-1",4,"24A","Kagraner Platz - Neueßling",3,"0A295D","FFFFFF"
"23-24A-j25-2",4,"24A","Kagraner Platz - Neueßling",3,"0A295D","FFFFFF"
"23-24A-j25-24",4,"24A","Kagraner Platz - Neueßling",3,"0A295D","FFFFFF"
"23-24A-j25-31",4,"24A","Kagraner Platz - Neueßling",3,"0A295D","FFFFFF"
